LEA Code,LEA Name,School Code,School Name,Enrolled,PK3,PK4,KG,01,02,03,04,05,06,07,08,09,10,11,12,Adult,Ungraded
178,Academy of Hope Adult PCS,233,Academy of Hope Adult PCS,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0
155,Achievement Preparatory Academy PCS,1096,Accotink Academy Alternative Learning Center Springfield VA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
155,Achievement Preparatory Academy PCS,1049,Accotink Academy Therapeutic Day School Springfield VA,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
155,Achievement Preparatory Academy PCS,217,Achievement Preparatory Academy PCS - Wahler Place Elementary School,486,75,76,79,78,81,97,0,0,0,0,0,0,0,0,0,0,0
155,Achievement Preparatory Academy PCS,1100,Achievement Preparatory Academy PCS - Wahler Place Middle School,476,0,0,0,0,0,0,99,105,106,91,75,0,0,0,0,0,0
155,Achievement Preparatory Academy PCS,1020,Childrens Guild Prince Georges Chillum MD,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
155,Achievement Preparatory Academy PCS,1044,Episcopal Center for Children DC,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
155,Achievement Preparatory Academy PCS,1200,High Road of Maryland Lower School Prince George's County,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
155,Achievement Preparatory Academy PCS,1051,Ivymount School Rockville MD,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
155,Achievement Preparatory Academy PCS,1013,Phillips School Laurel Laurel MD,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
103,AppleTree Early Learning PCS,140,AppleTree Early Learning Center PCS - Columbia Heights,162,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,AppleTree Early Learning PCS,3073,AppleTree Early Learning Center PCS - Lincoln Park,60,33,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,AppleTree Early Learning PCS,1137,AppleTree Early Learning Center PCS - Oklahoma Avenue,143,72,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,AppleTree Early Learning PCS,3072,AppleTree Early Learning Center PCS - Southeast,181,92,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,AppleTree Early Learning PCS,141,AppleTree Early Learning Center PCS - Southwest,108,62,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Basis DC PCS,3068,BASIS DC PCS,598,0,0,0,0,0,0,0,137,102,108,89,49,53,45,15,0,0
168,Basis DC PCS,1015,Monroe School DC,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
189,Breakthrough Montessori PCS,289,Breakthrough Montessori PCS,135,43,51,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Bridges PCS,142,Bridges PCS,399,56,55,50,53,58,55,49,23,0,0,0,0,0,0,0,0,0
107,Bridges PCS,1020,Childrens Guild Prince Georges Chillum MD,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
119,Briya PCS,126,Briya PCS,673,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0
108,Capital City PCS,1207,Capital City PCS - High School,335,0,0,0,0,0,0,0,0,0,0,0,95,91,76,73,0,0
108,Capital City PCS,184,Capital City PCS - Lower School,324,32,44,46,50,50,50,52,0,0,0,0,0,0,0,0,0,0
108,Capital City PCS,182,Capital City PCS - Middle School,334,0,0,0,0,0,0,0,85,88,85,76,0,0,0,0,0,0
108,Capital City PCS,1079,Katherine Thomas School Rockville MD,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,Capital City PCS,1066,Lt. Joseph P. Kennedy Institute,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,Capital City PCS,1012,Phillips School Annandale Annandale VA,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
108,Capital City PCS,1013,Phillips School Laurel Laurel MD,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
162,Carlos Rosario International PCS,1119,Carlos Rosario International PCS,2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2121,0
123,Cedar Tree Academy PCS,188,Cedar Tree Academy PCS,381,127,148,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Center City PCS,1049,Accotink Academy Therapeutic Day School Springfield VA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
156,Center City PCS,1103,Center City PCS - Brightwood,263,17,22,22,27,29,27,27,26,22,23,21,0,0,0,0,0,0
156,Center City PCS,1104,Center City PCS - Capitol Hill,260,19,17,25,26,19,28,26,23,28,26,23,0,0,0,0,0,0
156,Center City PCS,1105,Center City PCS - Congress Heights,256,14,22,18,24,26,26,28,25,31,22,20,0,0,0,0,0,0
156,Center City PCS,1106,Center City PCS - Petworth,252,18,22,20,23,21,25,24,26,26,21,26,0,0,0,0,0,0
156,Center City PCS,1107,Center City PCS - Shaw,236,0,24,23,20,24,24,25,22,25,25,24,0,0,0,0,0,0
156,Center City PCS,1108,Center City PCS - Trinidad,202,0,17,9,28,18,25,27,21,20,20,17,0,0,0,0,0,0
156,Center City PCS,1044,Episcopal Center for Children DC,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
156,Center City PCS,1200,High Road of Maryland Lower School Prince George's County,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
156,Center City PCS,1018,PHILLIPS Programs for Children and Families/ PHILLIPS School ~ Fairfax,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
156,Center City PCS,1081,The Foundation School at PG County,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
109,Cesar Chavez PCS for Public Policy,1049,Accotink Academy Therapeutic Day School Springfield VA,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
109,Cesar Chavez PCS for Public Policy,153,Cesar Chavez PCS for Public Policy - Capitol Hill,259,0,0,0,0,0,0,0,0,0,0,0,35,64,98,62,0,0
109,Cesar Chavez PCS for Public Policy,127,Cesar Chavez PCS for Public Policy - Chavez Prep,294,0,0,0,0,0,0,0,0,84,58,99,53,0,0,0,0,0
109,Cesar Chavez PCS for Public Policy,109,Cesar Chavez PCS for Public Policy - Parkside High School,367,0,0,0,0,0,0,0,0,0,0,0,107,111,88,61,0,0
109,Cesar Chavez PCS for Public Policy,102,Cesar Chavez PCS for Public Policy - Parkside Middle School,257,0,0,0,0,0,0,0,0,82,86,89,0,0,0,0,0,0
